"Código cultivo SIEX";"Cultivo SIEX";"Asociación de cultivos";"Código CPE";"Categoría del CPE"
"298";"MEZCLA CEBADA-GUISANTE";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"299";"MEZCLA AVENA-GUISANTE";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"304";"COL CHINA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"305";"MEZCLA AVENA-TRIGO";"NO";"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)"
"306";"MEZCLA AVENA-CEBADA";"NO";"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)"
"307";"MEZCLA AVENA-TRITICALE";"NO";"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)"
"308";"AGRIMONIA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"309";"BARDANA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"310";"DIENTE DE LEÓN";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"311";"ENULA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"312";"EQUINACEA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"313";"GINSENG";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"315";"LLANTÉN";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"316";"MALVAVISCO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"317";"MANZANILLA AMARGA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"318";"MANZANILLA DULCE";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"319";"MILENRAMA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"320";"POLEO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"321";"RÁBANO NEGRO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"322";"ROMPEPIEDRA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"323";"TRAVALERA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"324";"VARA DE ORO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"325";"TRIGO KHORASAN";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"326";"MAÍZ DULCE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"327";"REMOLACHA DE MESA";"NO";"SOC_CLND045";"Hortalizas frescas (incluidos melones) y fresas - Producidas al aire libre"
"328";"PASTO DEL SUDÁN";"NO";"SOC_CLND038";"Pastos y prados temporales"
"329";"AMARANTO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"331";"MORINGA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"332";"MOSTAZA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"333";"PORTAINJERTOS DE VID";"NO";"SOC_CLND070";"Viveros"
"334";"BARBECHO DE BIODIVERSIDAD (INCLUYE MELÍFERAS)";"NO";"SOC_CLND049";"Barbecho"
"335";"CABECERA Y CONTORNOS DE CULTIVO PERMANENTE";"NO";"SOC_CLND071";"Otros cultivos permanentes"
"336";"MEZCLA ALGARROBA-AVENA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"337";"MEZCLA ALGARROBA-CEBADA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"338";"MEZCLA RAYGRASS-VEZA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"339";"MEZCLA AVENA-YEROS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"340";"MEZCLA CEBADA-YEROS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"341";"SILPHIUM";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"343";"AGUACATE";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"344";"MANGO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"345";"CHIRIMOYO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"346";"PAPAYA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"347";"MORERA";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"348";"VIÑA - FRUTAL";"SI";"SOC_CLND056";"Frutas de pepita"
"348";"VIÑA - FRUTAL";"SI";"SOC_CLND062";"Uvas"
"349";"OLIVAR - FRUTAL";"SI";"SOC_CLND056";"Frutas de pepita"
"349";"OLIVAR - FRUTAL";"SI";"SOC_CLND069";"Aceitunas"
"351";"CÍTRICOS HÍBRIDOS-CAQUI";"SI";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"351";"CÍTRICOS HÍBRIDOS-CAQUI";"SI";"SOC_CLND061";"Cítricos"
"352";"NARANJO-AGUACATE";"SI";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"352";"NARANJO-AGUACATE";"SI";"SOC_CLND061";"Cítricos"
"353";"CEREZO-OLIVAR";"SI";"SOC_CLND057";"Frutas de hueso"
"353";"CEREZO-OLIVAR";"SI";"SOC_CLND069";"Aceitunas"
"354";"CEREZO-ALGARROBO";"SI";"SOC_CLND057";"Frutas de hueso"
"354";"CEREZO-ALGARROBO";"SI";"SOC_CLND060";"Frutos de cáscara"
"355";"RICINO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"356";"NARANJO AMARGO";"NO";"SOC_CLND061";"Cítricos"
"359";"HIERBA DE GUINEA";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"374";"CHÍA";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"388";"YUCA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
